T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
20.4,28.8,13.5,1013.6,66,6.3,1.5,5.4,255.875
20.4,28.8,14.3,1015.2,66,5.5,0.9,3.5,217.08333333333334
20.2,28.9,13.4,1015.1,64,6.3,1.1,3.5,229.16666666666666
19.8,29.5,12.2,1013,70,6.3,0.4,1.9,298.4583333333333
21,30.8,13.7,1013.4,64,6.3,0.7,5.4,264.9166666666667
21.3,30.8,14.2,1012.9,60,5.5,1.1,3.5,404.5
22.2,30.2,16.3,1013.1,65,5.5,0.7,5.4,164.75
21.3,30.6,15,1014.1,65,5.5,1.5,7.6,376.9166666666667
19.8,30.2,11.6,1016.4,58,6.3,2.2,7.6,0.0
22.3,31.1,12.6,1015.6,64,6.3,0.9,5.4,0.0
23.1,28.6,18.9,1014.4,60,6.3,1.3,3.5,57.0
21.7,29.9,15.8,1013,67,6.3,1.7,7.6,202.91666666666666
21.8,29.6,15.2,1013.9,64,5.5,1.9,7.6,205.125
20.3,28.6,13.1,1014.7,58,5.5,2,7.6,214.125
20.2,29.2,12.8,1014.5,57,5.5,0.4,3.5,315.7916666666667
20.6,29.3,12.4,1014,55,5.8,3,9.4,322.25
20.7,29.3,12.9,1013.8,60,6.3,2,7.6,246.04166666666666
21.9,31.3,13.7,1012,58,5.5,1.1,3.5,200.91666666666666
21.9,33.8,13.1,1010,44,6.3,2.8,9.4,99.5
21.4,32.6,11.9,1009.1,42,6.3,2.8,9.4,143.91666666666666
19.7,30.3,10.2,1010.2,36,6.6,3.1,7.6,100.25
20.8,28.2,13.6,1009.8,61,6.9,5.6,11.1,165.0
20.1,26.9,13.9,1011.1,59,6.9,5.6,13,116.45833333333333
19.6,27.5,11.7,1010.4,60,6.3,5.4,11.1,143.0
21.7,32.5,11.4,1012.5,50,5.8,1.3,3.5,231.125
24.3,33.1,15.4,1010.1,55,5.5,3.9,9.4,218.66666666666666
23.8,29,20,1011.4,64,5.5,5.2,11.1,211.0
25.1,33.4,17.4,1012.2,50,6.3,3,7.6,52.208333333333336
25,32.3,17.6,1011,55,6.3,4.1,14.8,187.5
24.5,31.7,19,1010.7,53,6.9,6.9,20.6,130.16666666666666
19.2,28.9,9.4,1013,39,6.3,3,5.4,123.125
19.8,29.4,9.9,1012.2,42,6.3,1.5,3.5,120.91666666666667
22.2,30.4,11.6,1010.8,53,6.3,2,7.6,153.625
24.3,32.8,16.4,1011.3,54,6.9,2,7.6,130.33333333333334
25.3,33.3,17,1012.2,54,6.9,6.7,16.5,110.70833333333333
22.6,31.3,18.8,1012.5,75,6.3,3,7.6,138.5
24.2,33.8,18.2,1012.6,67,6.3,2.4,5.4,75.75
26.1,35.4,17.8,1012,51,6.9,1.5,3.5,146.54166666666666
25.6,35.6,18.1,1013.3,52,5.8,1.5,5.4,116.625
28.3,36.8,19.8,1010.9,41,6.3,1.5,3.5,80.04166666666667
29.1,37.3,19.2,1009.5,30,6.6,2.6,7.6,100.04166666666667
26.7,36,18.7,1009.2,27,6.3,3.1,11.1,109.45833333333333
27.8,35.9,18,1008.7,36,6.3,3.1,7.6,110.16666666666667
28.4,37.3,18.2,1008.4,39,6.3,1.3,5.4,108.20833333333333
