T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
18.9,24.4,15,1010,78,5.5,0.4,3.5,172.75
19.1,26,14.7,1012.4,74,5.5,0.9,3.5,146.79166666666666
19.1,26.6,13.6,1014.3,76,5.5,0.4,1.9,113.875
20.2,29.2,13.4,1014,62,6.3,2,5.4,227.0
18,27.5,11.5,1015.6,60,6.3,1.1,5.4,231.25
17,27.5,9.8,1016.6,59,6.3,1.7,7.6,272.125
17.6,29.4,8.1,1014.7,55,6.3,1.3,5.4,228.79166666666666
18.4,29.7,9,1013.8,56,5.5,0.2,1.9,200.875
18.1,28.8,11,1014.4,60,5.5,1.5,3.5,214.04166666666666
20.8,29.9,12.2,1013.9,58,6.3,2,3.5,217.25
19.2,27.9,12.7,1015.5,61,6.3,2.2,5.4,212.45833333333334
19.8,29.5,11.8,1016.1,59,6.3,0.9,3.5,202.66666666666666
21.7,29.1,15.4,1015.2,66,6.3,1.9,5.4,138.79166666666666
20.8,29.6,14.6,1014.8,65,6.3,0.4,1.9,153.08333333333334
21.4,30.1,15.2,1013,64,5.5,1.9,3.5,159.70833333333334
20.3,29.8,14,1016,64,6.3,2,7.6,151.875
21.7,31,14,1014.3,60,5.5,1.9,3.5,224.79166666666666
22.2,32.4,14,1014.6,59,5.5,0.4,1.9,177.625
21.7,30.8,14.4,1017.2,56,5.5,1.5,5.4,149.625
20.7,31.5,11.6,1013.5,52,5.5,2,7.6,161.16666666666666
19.6,29.9,11.6,1014.3,49,6.3,0.9,3.5,136.75
21.2,30.9,11,1013.8,54,6.3,1.3,5.4,50.916666666666664
22.6,33,13.2,1012.1,48,6.3,1.3,5.4,120.20833333333333
22.7,33,14,1012.1,50,6.3,0.9,3.5,137.125
23,34.3,13.2,1012.1,51,6.3,1.5,5.4,197.08333333333334
23.9,33.6,13,1011.5,45,6.3,0.9,3.5,166.375
23.9,34.3,15.6,1012.1,44,6.3,1.3,3.5,126.58333333333333
22.9,32.6,14.6,1012.3,54,6.3,1.1,5.4,94.91666666666667
25,34.5,16.5,1009.7,49,6.3,2,5.4,133.95833333333334
23.6,33.1,15.5,1009.5,47,6.3,2.6,7.6,69.25
23.5,32,14.8,1009,47,6.3,2.6,7.6,79.29166666666667
17.2,18.9,16.4,1010.5,98,4,2,3.5,31.625
20.7,27.2,13.9,1013.1,65,6,9.6,24.1,20.416666666666668
18.6,26.2,12.5,1013.5,61,6.3,2.4,7.6,61.125
23.8,33.5,14.6,1013.6,45,5.5,2.6,7.6,49.583333333333336
24.2,33.8,14.2,1012.8,48,6.3,2.2,5.4,34.916666666666664
24.9,33.8,16.2,1013.9,49,6.3,1.3,3.5,47.5
25.3,33.9,16.3,1012.4,55,6.9,2.2,7.6,128.83333333333334
25.5,33.3,17.9,1012.1,61,6.9,3.7,9.4,56.333333333333336
24.1,31.6,16.9,1012.8,63,6.3,3.7,11.1,20.291666666666668
26.9,35.8,16.3,1010.8,45,6.3,2.8,11.1,59.166666666666664
27.4,36.3,17.7,1011.6,46,6.9,2,5.4,83.83333333333333
28.3,37.1,19.5,1012.1,46,6.3,2,5.4,89.375
28.4,37.7,18.6,1009.5,40,6.3,2.2,7.6,101.375
28.9,37.6,19.9,1011,50,6.3,3.7,9.4,109.75
29.6,37.9,20.9,1011,46,4.8,2.4,7.6,42.916666666666664
25.4,35.3,16.5,1010.4,39,6.6,1.9,7.6,47.25
25.9,36.1,14.8,1009.6,30,6.3,2.2,5.4,81.20833333333333
27.2,37,15.6,1008.7,36,5.5,4.1,7.6,52.291666666666664
26.4,34.1,16.6,1008.2,35,6.9,4.6,9.4,28.458333333333332
26.5,37,15.5,1007.3,45,6.9,5.2,14.8,49.5
28.2,37.6,19.3,1007.9,52,6.3,4.1,9.4,75.16666666666667
