T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
19.9,32.2,10.4,1018.7,56,5.5,0.7,3.5,284.79583333333335
20.3,32.1,10.6,1018.6,55,6.9,1.1,3.5,219.72083333333333
19.3,31.8,9.5,1017.2,53,6.3,0.9,3.5,182.1875
21.3,29.4,13.7,1016.4,60,5.8,0.6,1.9,154.03750000000002
19.9,30.5,12.3,1016.4,60,6.3,0.7,3.5,223.20833333333334
20.6,29.9,11.3,1014.8,54,7.4,0.2,1.9,200.64583333333337
20.5,28.7,11.6,1012.7,57,4.8,0.2,1.9,285.22499999999997
20.4,29.9,11.8,1012.5,58,5.5,4.4,20.6,236.82499999999996
20.4,27.2,12.8,1012.4,68,5.5,1.3,5.4,276.90833333333336
17.8,26.4,9.5,1013,50,6.3,2,5.4,108.0
17.2,26.3,8.2,1015.4,53,6.3,1.3,3.5,107.625
16.6,24.7,8,1016.8,57,6.3,0.9,3.5,125.89166666666667
20.6,30.2,12,1013.7,52,5.5,1.3,3.5,181.01250000000005
20.9,30.9,10.6,1013.1,52,6.9,1.9,5.4,152.55416666666667
20.5,30.9,11.2,1013.5,49,6.9,2,5.4,152.32083333333335
23.6,32.9,13.3,1014,47,6.3,1.9,5.4,319.7375
22.8,32.4,13.1,1014.1,49,6.3,0.7,3.5,332.7083333333333
22,34.2,12.3,1014.3,42,6.9,1.3,5.4,279.59999999999997
21.4,33.9,10.6,1014.3,36,6.9,1.3,5.4,179.11666666666667
21,30.2,12.7,1013.2,55,6.9,2.4,7.6,54.791666666666664
21.8,30.2,11.6,1012.7,57,5.5,2.2,5.4,93.375
23.9,32.9,15,1011.5,55,6.3,1.5,5.4,103.0
21.3,28.9,12.7,1012.9,60,6.3,3.3,5.4,132.20833333333334
22.7,31.1,12.4,1012.4,54,6.3,1.3,3.5,127.70833333333333
23.9,31.9,15.9,1012.2,50,6.6,2.4,7.6,109.33333333333333
25.7,32,17.6,1013.7,56,6.3,3.1,5.4,56.458333333333336
26.6,33.4,17.9,1013.5,56,6.3,3.5,7.6,135.83333333333334
26.8,33.7,19.5,1012.4,54,8.7,2.2,5.4,122.5
23.8,33.5,13.4,1011.7,40,6.9,3.5,9.4,69.66666666666667
24.2,33.4,14.2,1012.9,41,6.9,2.2,11.1,79.83333333333333
26.1,34.4,15,1013.1,45,6.9,1.3,3.5,62.708333333333336
25.4,32.4,19.3,1012.6,57,5.5,2.6,7.6,1.9166666666666667
24.6,32.7,17.4,1013.6,67,6.3,1.1,5.4,1.8333333333333333
25.2,32.4,18,1014.8,59,6.3,0.9,3.5,1.7916666666666667
25,34.5,14.6,1010.1,43,6.9,2.2,5.4,117.58333333333333
26.2,34.9,16.3,1009.5,42,7.7,2,7.6,122.70833333333333
28.2,34.2,16,1010.2,34,6.9,2.4,7.6,76.54166666666667
24.5,33.1,16.7,1011.8,44,6.9,3,11.1,59.208333333333336
24.1,31.9,12.8,1011.8,50,6.9,3.7,11.1,77.20833333333333
25.5,33.5,15.3,1010.6,46,6.9,5.7,14.8,87.83333333333333
29.1,37.4,17.9,1010.4,36,6.6,2,5.4,123.70833333333333
28.6,36.5,18,1011.3,34,6.3,2.6,7.6,64.79166666666667
26.2,36.4,17,1010.7,35,6.6,3,9.4,62.875
29.6,38.9,21.4,1010.6,49,6.3,4.4,11.1,52.041666666666664
29.7,38.4,21.5,1010.2,46,6.3,3,9.4,128.33333333333334
30.4,37.9,20.8,1010,35,7.4,3.1,5.4,87.58333333333333
28.7,37.4,17.1,1010.1,27,6.9,3,7.6,23.208333333333332
29.9,38.7,16.8,1007.8,27,6.3,2,5.4,15.166666666666666
29.8,40,19.3,1008.5,40,6.9,3.3,7.6,21.25
30.6,39.9,20.8,1009.3,38,6.9,3.9,11.1,25.75
28.6,36.9,18.9,1008.9,38,7.4,2.4,7.6,105.33333333333333
29.3,37.9,18.3,1008.1,28,6.9,1.9,5.4,117.75
29.9,37.9,19.4,1008.8,32,6.9,2,5.4,20.791666666666668
29.8,38.7,19.3,1006.6,31,6.9,3.1,7.6,46.916666666666664
30,38.5,17.3,1006.8,37,6.9,3.7,11.1,104.625
30.8,40.2,19.4,1007.2,27,6.9,2.2,5.4,109.625
32.5,40,24.6,1006.8,35,6.9,4.6,7.6,42.958333333333336
31,38.9,25.2,1008.5,42,7.7,4.6,7.6,0.0
31.3,39.5,23.1,1007.7,34,6.9,3.9,11.1,30.875
28.6,38.5,17.3,1006.6,42,6.9,4.6,11.1,79.91666666666667
30.4,39.5,18,1007.6,34,6.9,1.9,5.4,0.0
31.5,39.9,21.2,1006.3,35,6.9,2.8,7.6,0.0
30.7,39.5,21.1,1006.9,28,7.4,3.9,7.6,142.5
30.2,37.9,21.1,1007.2,31,6.9,2.8,7.6,133.375
